-0.015,1.383,13.145,16.152,18.263,17.327,21.245,21.583,22.592,22.411,17.366,20.441,22.664,22.634,20.533,12.088,15.088,20.180,49.676,47.769,47.562,46.507,45.537,43.929,32.428,31.344,28.262,27.304,24.186,23.331,30.469,34.586,36.102,32.564,35.680,40.509,43.628,46.309,46.077,43.570,53.627,55.563,62.484,55.472,52.637,50.538,52.737,49.553,47.578,46.466,36.108,33.451,31.487,36.999,35.584,25.494,24.434,24.205,27.238,28.421,29.273,32.291,33.426,45.038
1.262,0.178,12.539,15.546,17.390,16.722,20.372,20.977,21.719,21.538,17.507,20.848,22.804,22.775,20.941,13.509,16.510,21.334,49.816,48.389,47.436,47.395,46.424,45.350,33.583,32.766,29.683,28.726,25.607,24.485,31.356,35.473,36.722,33.451,35.821,40.650,44.036,46.450,46.218,43.978,52.754,55.437,62.892,55.345,53.525,51.425,52.611,49.427,47.719,45.860,35.982,32.578,30.614,36.393,34.711,24.621,23.561,23.599,26.632,27.815,28.667,31.685,32.820,44.432
12.847,12.073,0.230,3.237,5.348,4.413,8.330,9.415,9.677,10.510,12.293,12.327,15.204,16.170,16.474,16.288,19.216,23.267,44.261,43.179,44.156,43.109,44.134,45.205,34.451,33.551,30.377,29.381,26.384,26.356,28.471,32.117,32.339,28.087,30.920,32.364,35.515,37.929,36.950,34.710,42.545,45.454,54.371,48.401,46.379,45.299,46.306,44.261,35.410,34.441,24.687,22.563,20.140,25.578,23.416,13.326,11.520,11.290,14.323,15.506,16.358,19.379,20.511,32.123
15.909,15.135,3.293,0.218,2.329,1.394,5.311,7.410,7.404,8.504,12.582,12.082,15.052,16.036,16.763,19.134,21.011,25.062,43.953,42.870,43.847,42.800,43.991,46.240,35.487,34.402,31.320,30.363,28.179,28.151,28.328,32.042,32.196,27.903,30.778,30.160,34.256,36.190,35.958,32.704,40.299,43.249,52.365,47.166,45.102,44.022,45.029,42.983,33.157,31.279,22.681,20.558,17.314,22.559,20.397,10.574,8.501,8.271,11.304,12.487,13.339,16.358,17.492,29.104
18.056,17.025,5.439,2.364,0.421,1.264,3.215,6.782,6.549,8.624,13.715,13.215,16.272,17.436,17.896,21.396,23.273,27.283,45.081,43.957,45.100,44.053,45.285,48.387,37.633,36.639,33.467,32.509,30.441,30.372,29.622,33.442,33.448,29.196,32.071,31.370,34.396,36.043,35.810,32.824,39.531,42.523,52.485,47.408,46.313,44.264,46.198,44.111,31.379,29.449,22.800,20.677,17.433,21.931,19.502,10.693,7.606,6.363,9.396,10.579,11.431,14.450,15.584,27.196
16.922,16.295,4.305,1.230,1.048,0.379,4.050,7.409,7.343,8.503,13.595,13.095,16.097,17.104,17.776,20.211,22.088,27.108,44.947,43.823,44.883,43.836,45.069,47.253,37.246,35.454,33.249,32.253,29.256,29.228,29.405,33.055,33.273,29.021,31.896,31.237,35.269,36.936,35.957,33.717,40.366,43.358,53.378,47.274,46.179,45.099,46.065,43.978,32.214,30.284,22.947,20.557,17.313,22.558,20.129,10.573,8.233,7.256,10.289,11.473,12.325,15.343,16.477,28.090
20.730,19.866,8.113,5.056,2.831,3.920,0.010,6.148,5.147,8.108,15.375,13.382,16.352,17.336,18.543,23.066,24.943,28.911,44.565,43.565,44.749,43.702,44.935,49.034,39.035,37.258,35.053,34.056,32.028,31.031,30.240,33.342,33.139,28.846,31.721,29.969,32.995,34.662,34.430,31.443,37.160,40.152,51.104,46.006,44.911,43.831,44.797,43.678,28.925,26.995,20.673,18.283,15.039,20.284,17.108,8.299,5.479,3.503,5.988,7.172,8.023,11.042,12.176,23.788
21.197,20.423,9.327,7.265,6.603,7.428,6.277,0.800,1.809,2.642,10.507,8.514,10.737,12.735,13.941,21.447,22.420,25.485,38.992,37.910,38.970,37.923,39.156,43.419,34.224,32.447,30.242,29.246,27.301,27.355,24.624,28.474,27.360,23.144,26.260,24.261,28.393,30.061,29.082,26.095,33.402,36.352,45.756,40.268,39.215,38.135,39.100,38.023,26.796,25.683,16.072,13.682,10.438,15.950,13.787,3.697,3.652,5.449,7.469,9.399,9.237,12.255,13.390,24.255
22.291,21.250,9.674,7.346,6.456,7.485,5.437,1.895,0.876,3.736,12.615,9.875,12.845,13.829,15.782,22.808,23.782,27.609,40.273,39.149,40.334,39.287,41.488,45.527,35.588,34.780,31.606,31.578,29.592,29.646,25.985,29.835,28.724,24.431,27.354,25.553,28.741,30.409,30.176,27.189,33.714,36.705,46.851,41.590,40.496,39.416,40.381,39.263,25.863,24.750,16.420,14.296,11.052,16.030,13.868,4.045,2.719,4.516,6.336,7.719,8.390,10.576,12.632,23.322
21.889,21.433,10.286,8.481,8.309,8.387,8.158,2.506,3.813,0.353,9.682,6.165,8.388,10.386,12.339,20.403,21.352,24.417,37.058,35.975,37.036,35.947,37.180,42.084,32.248,31.440,29.277,28.280,26.294,26.348,22.542,26.392,25.343,21.091,23.966,22.214,26.208,27.712,26.733,24.493,31.426,34.376,44.154,38.251,37.239,36.159,37.166,36.089,25.460,24.348,14.470,12.084,9.369,14.881,13.199,3.376,5.188,7.857,9.344,10.358,10.196,13.227,14.343,24.947
